
Axis: X --------------------
,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20
Node 15,0.593743,0.69656,0.611842,0.617326,0.618999,0.621439,0.626726,0.634605,0.642465,0.646428,0.969226,0.855135,0.24265,0.703854,0.365341,0.711825,0.125393,0.398522,0.885597,0.470587
Node 16,0.611026,0.596474,0.603479,0.607889,0.614865,0.617549,0.619966,0.624146,0.634502,0.649274,0.555414,0.0524815,0.0726616,0.45915,0.906152,0.0318472,0.438458,0.909066,0.453072,0.180342
Node 17,0.542352,0.594019,0.594535,0.598494,0.598761,0.607518,0.611948,0.620191,0.630828,0.651843,0.756992,0.73823,0.986133,0.637336,0.19909,0.351567,0.244969,0.388231,0.383004,0.121785
Node 18,0.798923,0.292742,0.732042,0.956263,0.595542,0.602101,0.60841,0.615442,0.629101,0.638025,0.124201,0.358182,0.144063,0.245919,0.712904,0.73662,0.312118,0.196206,0.335968,0.838174
Node 19,0.521371,0.316689,0.637396,0.11456,0.947572,0.123333,0.656475,0.668142,0.626149,0.637714,0.200954,0.46879,0.246963,0.338782,0.288314,0.554577,0.487992,0.98846,0.822415,0.0359106
Node 20,0.506716,0.516741,0.525743,0.521021,0.332854,0.718115,0.165119,0.442046,0.710053,0.658996,0.349915,0.580294,0.519111,0.616163,0.898633,0.355191,0.543248,0.337203,0.617592,0.845641

Weight Type : Speed  
Node 1,0.667446,0.658945,0.659142,0.662027,0.659067,0.65904,0.659249,0.658467,0.659025,0.658999,0.659024,0.658714,0.659101,0.65225,0.659012,0.658986,0.658419,0.674421,0.659643,0.659525
Node 2,0.660051,0.885977,0.868805,0.237224,0.660424,0.630079,0.350596,0.199566,0.860966,0.636482,0.913974,0.129261,0.643682,0.676354,0.152754,0.65275,0.118833,0.564692,0.996958,0.00687888
Node 3,0.664375,0.564394,0.665326,0.445028,0.900405,0.194475,0.40494,0.250659,0.764805,0.682013,0.361711,0.827039,0.0145013,0.980476,0.425467,0.831881,0.515425,0.729615,0.39341,0.825663
Node 4,0.668897,0.935995,0.295673,0.402365,0.712997,0.239475,0.226743,0.271373,0.997883,0.67773,0.526493,0.56474,0.783467,0.667581,0.654569,0.700572,0.698551,0.421862,0.601888,0.185177
Node 5,0.660017,0.520584,0.183002,0.13294,0.730446,0.855155,0.0530583,0.162451,0.665704,0.664385,0.793133,0.723777,0.123945,0.881047,0.907663,0.963568,0.252091,0.507732,0.0777462,0.291347
Node 6,0.659225,0.240747,0.514042,0.615713,0.471553,0.0608154,0.75304,0.672437,0.90132,0.00932277,0.740432,0.74068,0.305577,0.868858,0.545345,0.233624,0.446411,0.9668,0.549185,0.769708
Node 7,0.771024,0.82071,0.452841,0.635474,0.761478,0.844255,0.94599,0.0333291,0.763176,0.832445,0.594422,0.929223,0.235173,0.444906,0.304087,0.726211,0.792929,0.405952,0.160691,0.751229
Node 8,0.718906,0.685926,0.54957,0.698093,0.7199,0.552491,0.922129,0.705018,0.133833,0.617495,0.805206,0.413172,0.708256,0.651472,0.738143,0.69059,0.580232,0.743344,0.700448,0.686674
Node 9,0.667231,0.662695,0.66161,0.661268,0.661237,0.662486,0.660933,0.659072,0.660433,0.659046,0.659054,0.659064,0.659069,0.659092,0.659127,0.659182,0.659154,0.659291,0.659361,0.6593
Node 10,0.662218,0.660323,0.659657,0.66069,0.65976,0.659118,0.661031,0.659164,0.659046,0.662029,0.659085,0.659213,0.661618,0.660607,0.659529,0.659441,0.660209,0.6603,0.661521,0.660864
Node 11,0.712736,0.661445,0.672085,0.159955,0.261095,0.109403,0.668987,0.525189,0.666255,0.667051,0.581322,0.657399,0.0275389,0.322662,0.652759,0.67247,0.163941,0.991579,0.928886,0.683569
Node 12,0.857214,0.363811,0.985687,0.779803,0.769331,0.189752,0.688419,0.497046,0.607958,0.69996,0.340272,0.365037,0.0758499,0.369085,0.144481,0.630928,0.124837,0.65816,0.975206,0.750996
Node 13,0.911422,0.604097,0.77926,0.883991,0.71002,0.325047,0.452453,0.607608,0.631677,0.250436,0.534295,0.616126,0.784353,0.26439,0.564808,0.463387,0.537441,0.628471,0.447196,0.806698
Node 14,0.919482,0.902453,0.660124,0.36841,0.661163,0.58189,0.663361,0.658708,0.657736,0.67124,0.340524,0.53341,0.719749,0.911284,0.822692,0.972504,0.0580472,0.879585,0.536621,0.909231
Node 15,0.671945,0.682752,0.82132,0.55027,0.616999,0.459247,0.95674,0.0390746,0.033631,0.601444,0.948319,0.278992,0.998991,0.586003,0.911135,0.657869,0.981457,0.120376,0.397426,0.917978
Node 16,0.713791,0.175743,0.511206,0.710511,0.182059,0.273584,0.153759,0.523137,0.634415,0.255563,0.24372,0.0693502,0.507917,0.58516,0.255538,0.786214,0.0670353,0.209858,0.920028,0.924111
Node 17,0.659577,0.702621,0.430801,0.421892,0.661413,0.901418,0.000286798,0.548864,0.764446,0.682556,0.109127,0.563398,0.844483,0.667518,0.292673,0.285337,0.433117,0.839191,0.808348,0.132756
Node 18,0.659747,0.191018,0.027607,0.532519,0.413979,0.555537,0.896273,0.0626086,0.129337,0.246447,0.306967,0.217345,0.669387,0.634437,0.674354,0.823565,0.676673,0.321109,0.928311,0.164378
Node 19,0.65971,0.267167,0.154665,0.826539,0.537166,0.111166,0.584095,0.0577433,0.90139,0.725047,0.416098,0.700099,0.934656,0.892736,0.435889,0.668524,0.369958,0.830521,0.396603,0.442806
Node 20,0.65964,0.76799,0.5159,0.542096,0.737841,0.308256,0.565781,0.450562,0.279898,0.687024,0.665468,0.962971,0.72196,0.343734,0.618687,0.418948,0.853954,0.719103,0.378391,0.660539

Weight Type : Acel  
Node 1,0.0847758,0.0975184,0.701423,0.102065,0.114576,0.940735,0.800314,0.548858,0.736812,0.917909,0.998055,0.790126,0.585442,0.310873,0.33296,0.612109,0.961868,0.798426,0.710428,0.727001
Node 2,0.798189,0.189608,0.677728,0.493536,0.954445,0.873771,0.39214,0.526239,0.943592,0.206207,0.626196,0.1621,0.677963,0.548055,0.153798,0.253421,0.330959,0.179271,0.36093,0.255585
Node 3,0.907732,0.803389,0.424737,0.078495,0.618596,0.862824,0.904709,0.670439,0.648922,0.383483,0.0897318,0.803123,0.419276,0.56741,0.944738,0.0266244,0.929529,0.852237,0.000723766,0.263025
Node 4,0.280711,0.656183,0.0318715,0.00745564,0.968344,0.527337,0.863535,0.605322,0.0410153,0.916005,0.154829,0.574446,0.717925,0.288842,0.499587,0.440882,0.559179,0.803537,0.689416,0.0571524
Node 5,0.782561,0.262788,0.482622,0.871659,0.820536,0.566334,0.72274,0.118015,0.711244,0.379774,0.150421,0.393042,0.417228,0.238938,0.752433,0.592204,0.665638,0.808557,0.99152,0.671195
Node 6,0.403681,0.513973,0.760867,0.202464,0.463045,0.26465,0.406931,0.195403,0.527067,0.488236,0.664375,0.148957,0.994376,0.193911,0.846862,0.805413,0.832778,0.283793,0.137466,0.574103
Node 7,0.01712,0.831136,0.322432,0.0937825,0.644892,0.544074,0.812051,0.90243,0.32331,0.133661,0.292393,0.683218,0.92164,0.804963,0.851652,0.0554104,0.282496,0.589944,0.924847,0.378922
Node 8,0.985881,0.740895,0.900631,0.541312,0.75971,0.903168,0.733965,0.195937,0.630564,0.285949,0.408399,0.420037,0.408435,0.549831,0.591708,0.261486,0.5992,0.629939,0.328644,0.142966
Node 9,0.338578,0.21334,0.114542,0.592319,0.44133,0.089512,0.193542,0.267806,0.159433,0.0926036,0.425159,0.747056,0.742995,0.85424,0.562979,0.0484266,0.397654,0.0856293,0.289196,0.353533
Node 10,0.894306,0.89371,0.873246,0.905558,0.880955,0.89993,0.870457,0.87333,0.65951,0.7978,0.84795,0.869847,0.861284,0.83825,0.683983,0.853531,0.847337,0.840604,0.783854,0.743438
Node 11,0.896284,0.907183,0.921103,0.889548,0.896343,0.892913,0.831968,0.311313,0.308681,0.722912,0.823179,0.805774,0.488906,0.850366,0.461453,0.773733,0.831978,0.83255,0.830711,0.464256
Node 12,0.907892,0.936036,0.911721,0.898749,0.842008,0.836868,0.855805,0.430872,0.342443,0.816783,0.813122,0.416809,0.506107,0.770927,0.816227,0.752265,0.811976,0.504476,0.701375,0.810404
Node 13,0.9146,0.913602,0.934744,0.933216,0.91098,0.389723,0.904212,0.38512,0.273848,0.803505,0.802085,0.533352,0.759495,0.792121,0.803072,0.852063,0.793818,0.783429,0.491641,0.520066
Node 14,0.9212,0.922958,0.851927,0.919266,0.278832,0.264734,0.399157,0.915952,0.917876,0.777939,0.730511,0.710428,0.496012,0.487494,0.433713,0.776438,0.541136,0.773626,0.502547,0.853773
Node 15,0.933219,0.952584,0.867342,0.244868,0.870362,0.242964,0.362192,0.22007,0.206279,0.761925,0.732434,0.547626,0.758801,0.673098,0.418739,0.731696,0.738118,0.646165,0.632951,0.667314
Node 16,0.472756,0.25329,0.915447,0.904176,0.203035,0.204436,0.24089,0.206785,0.932961,0.555747,0.565963,0.749609,0.738112,0.662922,0.72071,0.452814,0.605527,0.723622,0.729581,0.540662
Node 17,0.941158,0.252476,0.336722,0.312456,0.177883,0.318836,0.205151,0.322719,0.935421,0.572061,0.609925,0.66149,0.705927,0.554877,0.473643,0.51141,0.643608,0.699658,0.673824,0.422031
Node 18,0.401649,0.902592,0.378088,0.920189,0.198656,0.166415,0.919226,0.941328,0.939274,0.71079,0.598283,0.592231,0.53809,0.567496,0.638339,0.670674,0.483845,0.439025,0.517204,0.529739
Node 19,0.922268,0.2177,0.147934,0.274295,0.181935,0.913392,0.153389,0.954079,0.942186,0.654467,0.637446,0.604894,0.587294,0.594513,0.56802,0.634055,0.607087,0.597516,0.476392,0.448658
Node 20,0.887106,0.0161061,0.930211,0.190114,0.970253,0.134733,0.145126,0.1266,0.19885,0.814433,0.883362,0.564474,0.673499,0.535036,0.76099,0.813674,0.734075,0.575532,0.673564,0.828372

Weight Type : Wind  
Node 1,0.745292,0.814984,0.83547,0.0125562,0.7399,0.321618,0.537464,0.0913197,0.920253,0.70465,0.442802,0.622908,0.667411,0.0695532,0.869369,0.0924432,0.331144,0.866518,0.729187,0.643915
Node 2,0.0760058,0.600293,0.498512,0.839822,0.186382,0.881821,0.506282,0.934489,0.924284,0.0404204,0.384682,0.629807,0.533617,0.0152653,0.0255629,0.782135,0.484688,0.744912,0.886472,0.0291379
Node 3,0.552699,0.773622,0.990044,0.805286,0.82397,0.293232,0.460498,0.714782,0.223651,0.339321,0.940997,0.730654,0.658665,0.360424,0.735615,0.188779,0.369636,0.879045,0.0196677,0.04557
Node 4,0.585554,0.46321,0.962142,0.368088,0.0749228,0.727325,0.103998,0.525329,0.687139,0.581077,0.836072,0.0494279,0.47786,0.44513,0.320342,0.635535,0.512106,0.652375,0.6983,0.249121
Node 5,0.938842,0.753466,0.930186,0.809442,0.430798,0.945413,0.108833,0.417938,0.583275,0.341965,0.591866,0.600298,0.36568,0.304546,0.796016,0.530944,0.219552,0.552481,0.997289,0.708692
Node 6,0.896813,0.271274,0.980747,0.0523362,0.632016,0.937682,0.883648,0.884896,0.742316,0.0803347,0.0756951,0.775294,0.248932,0.694649,0.420144,0.706205,0.61384,0.530797,0.759522,0.53682
Node 7,0.185454,0.973462,0.969704,0.229288,0.447036,0.732153,0.4261,0.807582,0.661595,0.0608009,0.225699,0.517526,0.00702069,0.725416,0.00872767,0.156759,0.795195,0.438533,0.723662,0.0433576
Node 8,0.868848,0.979209,0.179353,0.591887,0.769889,0.717312,0.72801,0.965623,0.772978,0.760862,0.92279,0.773696,0.378078,0.445168,0.493758,0.281907,0.355744,0.382506,0.485938,0.105962
Node 9,0.938896,0.791104,0.903242,0.855884,0.254823,0.322164,0.701997,0.700344,0.591178,0.103688,0.477836,0.319661,0.589701,0.219847,0.689695,0.216232,0.961431,0.344648,0.764671,0.851122
Node 10,0.550046,0.711387,0.694691,0.646775,0.708917,0.625383,0.589121,0.63118,0.624513,0.62989,0.644039,0.701487,0.568058,0.613776,0.604881,0.7414,0.677205,0.815792,0.858581,0.865994
Node 11,0.487492,0.0579043,0.377371,0.641297,0.946622,0.14185,0.380889,0.384413,0.127022,0.0686004,0.0347672,0.34488,0.999032,0.0759376,0.196243,0.608267,0.561027,0.439476,0.311565,0.649238
Node 12,0.478461,0.241099,0.897806,0.493533,0.369383,0.916683,0.0305313,0.331132,0.830201,0.80188,0.681083,0.549333,0.795418,0.394687,0.247218,0.654505,0.325109,0.553566,0.120856,0.0512652
Node 13,0.413881,0.349863,0.636687,0.147825,0.915069,0.793272,0.245393,0.756255,0.173911,0.149091,0.255222,0.256431,0.463465,0.0660372,0.985676,0.492393,0.817004,0.233345,0.677055,0.869878
Node 14,0.350649,0.785922,0.999615,0.62378,0.669985,0.176292,0.506079,0.724275,0.454411,0.732095,0.871265,0.390372,0.812974,0.61788,0.262568,0.679634,0.505443,0.419936,0.685051,0.122823
Node 15,0.622356,0.0729373,0.644899,0.872213,0.817814,0.34712,0.97498,0.33233,0.688749,0.614764,0.166266,0.741858,0.394434,0.114718,0.0488642,0.675474,0.109972,0.433724,0.166404,0.934348
Node 16,0.407525,0.423288,0.687537,0.794067,0.159018,0.270843,0.1983,0.0787364,0.0540899,0.943968,0.219075,0.0299932,0.327017,0.726396,0.789922,0.4397,0.78638,0.0645719,0.968013,0.0150543
Node 17,0.741209,0.443507,0.580929,0.444876,0.917365,0.510682,0.079565,0.135813,0.957909,0.166741,0.834394,0.0872134,0.6012,0.841743,0.718842,0.873435,0.13048,0.675696,0.323522,0.202309
Node 18,0.188696,0.822154,0.645073,0.0185364,0.552299,0.593598,0.593368,0.620755,0.957788,0.667367,0.16082,0.761024,0.574726,0.070894,0.597557,0.195485,0.219004,0.164975,0.436199,0.654941
Node 19,0.900074,0.343848,0.710001,0.704112,0.795933,0.67081,0.2081,0.458309,0.249576,0.168133,0.111621,0.626279,0.880695,0.980032,0.854402,0.847974,0.406355,0.127424,0.552062,0.795995
Node 20,0.264409,0.0732307,0.843195,0.00944876,0.633393,0.816992,0.486413,0.928986,0.94266,0.73751,0.556999,0.101756,0.466497,0.902301,0.586927,0.0250346,0.0959729,0.0625883,0.49198,0.597274

Axis: Y --------------------
,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20
Weight Type : Distance  
Node 1,0.902752,0.590968,0.610342,0.609324,0.409817,0.40073,0.449499,0.639665,0.439766,0.195827,0.00335302,0.0574232,0.788975,0.44221,0.229726,0.203286,0.212263,0.794146,0.0627916,0.988186
Node 2,0.627661,0.6142,0.616111,0.623328,0.625998,0.631246,0.634745,0.642924,0.647002,0.662815,0.762231,0.294613,0.422196,0.769032,0.978387,0.438861,0.47929,0.765864,0.78482,0.435964
Node 3,0.848327,0.618362,0.624923,0.625309,0.63613,0.634978,0.642105,0.646699,0.657534,0.663423,0.735848,0.84049,0.672392,0.961214,0.159196,0.745317,0.10041,0.939489,0.762568,0.270278
Node 4,0.804779,0.64613,0.633787,0.631518,0.63484,0.639078,0.64321,0.649354,0.651495,0.665257,0.289433,0.340181,0.337692,0.343141,0.49217,0.106124,0.429899,0.26333,0.418377,0.38557
Node 5,0.67141,0.697482,0.638299,0.648554,0.642411,0.640967,0.646285,0.651718,0.65391,0.659593,0.580469,0.665431,0.810183,0.102715,0.113974,0.871869,0.0472123,0.716084,0.752734,0.541323
Node 6,0.899188,0.738617,0.69393,0.651597,0.644729,0.646323,0.650044,0.652333,0.654577,0.664305,0.989243,0.378831,0.884376,0.356174,0.131509,0.6991,0.110381,0.330639,0.739661,0.11927
Node 7,0.694483,0.675861,0.639552,0.662312,0.650774,0.651629,0.652903,0.655173,0.655966,0.659741,0.352121,0.0086056,0.977795,0.945337,0.571991,0.0184681,0.465263,0.41905,0.212333,0.628633
Node 8,0.73409,0.619586,0.538001,0.672174,0.681936,0.655179,0.653522,0.657175,0.657882,0.65913,0.966304,0.727683,0.48241,0.311012,0.198251,0.125911,0.72941,0.842436,0.207683,0.553182
Node 9,0.734161,0.653838,0.667145,0.684362,0.101037,0.660486,0.658904,0.659561,0.222262,0.659055,0.834828,0.530823,0.465692,0.286333,0.158031,0.490638,0.0692811,0.669551,0.238741,0.633813
Node 10,0.678596,0.575657,0.661946,0.161,0.560527,0.550991,0.660933,0.661,0.65907,0.65905,0.120543,0.503538,0.440018,0.15377,0.936012,0.37366,0.889582,0.0677741,0.463459,0.180451
Node 11,0.671988,0.336259,0.513451,0.670535,0.66973,0.148835,0.652399,0.66252,0.659067,0.65808,0.277824,0.276559,0.419193,0.809552,0.577321,0.350616,0.153451,0.770272,0.218766,0.506977
Node 12,0.878555,0.367183,0.609144,0.635861,0.592964,0.643368,0.647002,0.660792,0.662256,0.657008,0.830772,0.259601,0.980828,0.379273,0.651278,0.832648,0.55226,0.963087,0.88861,0.0829677
Node 13,0.870446,0.610368,0.614465,0.639487,0.634464,0.639616,0.666208,0.642826,0.659859,0.656024,0.266645,0.748174,0.553323,0.12841,0.924125,0.179072,0.243771,0.935887,0.574736,0.495971
Node 14,0.615219,0.617813,0.628302,0.673721,0.628949,0.629308,0.631677,0.639313,0.650051,0.653288,0.0132767,0.497194,0.646219,0.0115189,0.209492,0.495593,0.377411,0.340152,0.538947,0.818086
Node 15,0.593743,0.69656,0.611842,0.617326,0.618999,0.621439,0.626726,0.634605,0.642465,0.646428,0.969226,0.855135,0.24265,0.703854,0.365341,0.711825,0.125393,0.398522,0.885597,0.470587
Node 16,0.611026,0.596474,0.603479,0.607889,0.614865,0.617549,0.619966,0.624146,0.634502,0.649274,0.555414,0.0524815,0.0726616,0.45915,0.906152,0.0318472,0.438458,0.909066,0.453072,0.180342
Node 17,0.542352,0.594019,0.594535,0.598494,0.598761,0.607518,0.611948,0.620191,0.630828,0.651843,0.756992,0.73823,0.986133,0.637336,0.19909,0.351567,0.244969,0.388231,0.383004,0.121785
Node 18,0.798923,0.292742,0.732042,0.956263,0.595542,0.602101,0.60841,0.615442,0.629101,0.638025,0.124201,0.358182,0.144063,0.245919,0.712904,0.73662,0.312118,0.196206,0.335968,0.838174
Node 19,0.521371,0.316689,0.637396,0.11456,0.947572,0.123333,0.656475,0.668142,0.626149,0.637714,0.200954,0.46879,0.246963,0.338782,0.288314,0.554577,0.487992,0.98846,0.822415,0.0359106
Node 20,0.506716,0.516741,0.525743,0.521021,0.332854,0.718115,0.165119,0.442046,0.710053,0.658996,0.349915,0.580294,0.519111,0.616163,0.898633,0.355191,0.543248,0.337203,0.617592,0.845641

Weight Type : Speed  
Node 1,0.667446,0.658945,0.659142,0.662027,0.659067,0.65904,0.659249,0.658467,0.659025,0.658999,0.659024,0.658714,0.659101,0.65225,0.659012,0.658986,0.658419,0.674421,0.659643,0.659525
Node 2,0.660051,0.885977,0.868805,0.237224,0.660424,0.630079,0.350596,0.199566,0.860966,0.636482,0.913974,0.129261,0.643682,0.676354,0.152754,0.65275,0.118833,0.564692,0.996958,0.00687888
Node 3,0.664375,0.564394,0.665326,0.445028,0.900405,0.194475,0.40494,0.250659,0.764805,0.682013,0.361711,0.827039,0.0145013,0.980476,0.425467,0.831881,0.515425,0.729615,0.39341,0.825663
Node 4,0.668897,0.935995,0.295673,0.402365,0.712997,0.239475,0.226743,0.271373,0.997883,0.67773,0.526493,0.56474,0.783467,0.667581,0.654569,0.700572,0.698551,0.421862,0.601888,0.185177
Node 5,0.660017,0.520584,0.183002,0.13294,0.730446,0.855155,0.0530583,0.162451,0.665704,0.664385,0.793133,0.723777,0.123945,0.881047,0.907663,0.963568,0.252091,0.507732,0.0777462,0.291347
Node 6,0.659225,0.240747,0.514042,0.615713,0.471553,0.0608154,0.75304,0.672437,0.90132,0.00932277,0.740432,0.74068,0.305577,0.868858,0.545345,0.233624,0.446411,0.9668,0.549185,0.769708
Node 7,0.771024,0.82071,0.452841,0.635474,0.761478,0.844255,0.94599,0.0333291,0.763176,0.832445,0.594422,0.929223,0.235173,0.444906,0.304087,0.726211,0.792929,0.405952,0.160691,0.751229
Node 8,0.718906,0.685926,0.54957,0.698093,0.7199,0.552491,0.922129,0.705018,0.133833,0.617495,0.805206,0.413172,0.708256,0.651472,0.738143,0.69059,0.580232,0.743344,0.700448,0.686674
Node 9,0.667231,0.662695,0.66161,0.661268,0.661237,0.662486,0.660933,0.659072,0.660433,0.659046,0.659054,0.659064,0.659069,0.659092,0.659127,0.659182,0.659154,0.659291,0.659361,0.6593
Node 10,0.662218,0.660323,0.659657,0.66069,0.65976,0.659118,0.661031,0.659164,0.659046,0.662029,0.659085,0.659213,0.661618,0.660607,0.659529,0.659441,0.660209,0.6603,0.661521,0.660864
Node 11,0.712736,0.661445,0.672085,0.159955,0.261095,0.109403,0.668987,0.525189,0.666255,0.667051,0.581322,0.657399,0.0275389,0.322662,0.652759,0.67247,0.163941,0.991579,0.928886,0.683569
Node 12,0.857214,0.363811,0.985687,0.779803,0.769331,0.189752,0.688419,0.497046,0.607958,0.69996,0.340272,0.365037,0.0758499,0.369085,0.144481,0.630928,0.124837,0.65816,0.975206,0.750996
Node 13,0.911422,0.604097,0.77926,0.883991,0.71002,0.325047,0.452453,0.607608,0.631677,0.250436,0.534295,0.616126,0.784353,0.26439,0.564808,0.463387,0.537441,0.628471,0.447196,0.806698
Node 14,0.919482,0.902453,0.660124,0.36841,0.661163,0.58189,0.663361,0.658708,0.657736,0.67124,0.340524,0.53341,0.719749,0.911284,0.822692,0.972504,0.0580472,0.879585,0.536621,0.909231
Node 15,0.671945,0.682752,0.82132,0.55027,0.616999,0.459247,0.95674,0.0390746,0.033631,0.601444,0.948319,0.278992,0.998991,0.586003,0.911135,0.657869,0.981457,0.120376,0.397426,0.917978
Node 16,0.713791,0.175743,0.511206,0.710511,0.182059,0.273584,0.153759,0.523137,0.634415,0.255563,0.24372,0.0693502,0.507917,0.58516,0.255538,0.786214,0.0670353,0.209858,0.920028,0.924111
Node 17,0.659577,0.702621,0.430801,0.421892,0.661413,0.901418,0.000286798,0.548864,0.764446,0.682556,0.109127,0.563398,0.844483,0.667518,0.292673,0.285337,0.433117,0.839191,0.808348,0.132756
Node 18,0.659747,0.191018,0.027607,0.532519,0.413979,0.555537,0.896273,0.0626086,0.129337,0.246447,0.306967,0.217345,0.669387,0.634437,0.674354,0.823565,0.676673,0.321109,0.928311,0.164378
Node 19,0.65971,0.267167,0.154665,0.826539,0.537166,0.111166,0.584095,0.0577433,0.90139,0.725047,0.416098,0.700099,0.934656,0.892736,0.435889,0.668524,0.369958,0.830521,0.396603,0.442806
Node 20,0.65964,0.76799,0.5159,0.542096,0.737841,0.308256,0.565781,0.450562,0.279898,0.687024,0.665468,0.962971,0.72196,0.343734,0.618687,0.418948,0.853954,0.719103,0.378391,0.660539

Weight Type : Acel  
Node 1,0.0847758,0.0975184,0.701423,0.102065,0.114576,0.940735,0.800314,0.548858,0.736812,0.917909,0.998055,0.790126,0.585442,0.310873,0.33296,0.612109,0.961868,0.798426,0.710428,0.727001
Node 2,0.798189,0.189608,0.677728,0.493536,0.954445,0.873771,0.39214,0.526239,0.943592,0.206207,0.626196,0.1621,0.677963,0.548055,0.153798,0.253421,0.330959,0.179271,0.36093,0.255585
Node 3,0.907732,0.803389,0.424737,0.078495,0.618596,0.862824,0.904709,0.670439,0.648922,0.383483,0.0897318,0.803123,0.419276,0.56741,0.944738,0.0266244,0.929529,0.852237,0.000723766,0.263025
Node 4,0.280711,0.656183,0.0318715,0.00745564,0.968344,0.527337,0.863535,0.605322,0.0410153,0.916005,0.154829,0.574446,0.717925,0.288842,0.499587,0.440882,0.559179,0.803537,0.689416,0.0571524
Node 5,0.782561,0.262788,0.482622,0.871659,0.820536,0.566334,0.72274,0.118015,0.711244,0.379774,0.150421,0.393042,0.417228,0.238938,0.752433,0.592204,0.665638,0.808557,0.99152,0.671195
Node 6,0.403681,0.513973,0.760867,0.202464,0.463045,0.26465,0.406931,0.195403,0.527067,0.488236,0.664375,0.148957,0.994376,0.193911,0.846862,0.805413,0.832778,0.283793,0.137466,0.574103
Node 7,0.01712,0.831136,0.322432,0.0937825,0.644892,0.544074,0.812051,0.90243,0.32331,0.133661,0.292393,0.683218,0.92164,0.804963,0.851652,0.0554104,0.282496,0.589944,0.924847,0.378922
